parameter_id,label,category,calibration_status,calibrated_baseline,original_baseline,plausible_low,plausible_high,unit,type,calibration_source,calibration_note,description,original_source_notes
MINIMUM_WAGE,Minimum Average Wage Floor (Not Used for Avg Wage Calc),Economic Dynamics - Labor Market,structural,15000,15000,8000,20000,currency units,float,Abstract model units,Wage floor in model units; not bound to a single national minimum wage.,Floor for economy-wide average wage in Phillips curve update. Used as minimum wage level in model dynamics.,Not directly flooring Phillips curve wage. Retained for potential use in citizen income or social policy rules.
UNEMPLOYMENT_BENEFIT_RATE,Unemployment Benefit Rate (Gross),Economic Dynamics - Labor Market,empirical,0.6,0.4,0.3,0.6,rate (0-1),percentage_0_1,OECD net replacement rates: EU initial-phase NRR commonly 55-70%,"Set to 0.60, mid-range of EU short-term net replacement rates (OECD). Prior 0.40 sat below typical EU initial replacement rates.","Proportion of the current average GROSS wage paid as GROSS benefits to unemployed citizens (before income tax, dividend, stipend).",Stylized social policy. Replacement rates vary.
INITIAL_AGGREGATE_EMISSIONS_CAP,Initial Aggregate Emissions Cap,Policy Levers - Environment,structural,500000,500000,200000,1000000,emissions units,float,Model-scaled cap,"Cap in abstract emissions units, scaled to model output; not a national tonnage.",Starting regulatory cap for total economy-wide emissions in the first year.,Stylized. Calibrate to initial total emissions from the model or national emissions targets.
REGULATORY_CAP_TIGHTENING_RATE_DELTA_REG,Regulatory Cap Tightening Rate (delta_reg),Policy Levers - Environment,empirical,0.043,0.02,0.01,0.04,rate (0-1),percentage_0_1,"EU ETS Linear Reduction Factor: 4.3%/yr 2024-2027, rising to 4.4%/yr from 2028 (Directive 2023/959)","Set to 0.043, the current EU ETS LRF. Prior 0.02 reflected the pre-2024 (2.2%) regime and is now outdated.",Annual percentage rate at which the aggregate emissions cap is reduced.,Reflects environmental policy ambition. EU ETS cap reduction factor has been around 2.2% and increasing.
GOVT_INITIAL_BUDGET,Government Initial Budget,Government Agent - Initialization,structural,0,0,-1000000,1000000,currency units,float,Initial condition,Starts at balance by construction.,Starting budget balance for the government.,
GOVT_INITIAL_COHESION_FUND,Government Initial Cohesion Fund,Government Agent - Initialization,structural,0,0,0,500000,currency units,float,Initial condition,Starts at zero by construction.,Starting amount in the cohesion fund.,
GOVT_VAT_RATE,VAT Rate,Government Agent - Policy,empirical,0.05,0.05,0.01,0.2,rate (0-1),percentage_0_1,EU standard VAT rates average ~21-22% (EC VAT database 2025),Real-world EU standard VAT averages ~21%. Kept at model-unit value to preserve internal price-level balance; empirical benchmark documented. Overwriting without re-tuning FIRM_TFP_SCALAR/INITIAL_FIRM_PRICE would unbalance the initial economy.,Value Added Tax rate applied to firm revenues.,
GOVT_INCOME_TAX_RATE,Income Tax Rate,Government Agent - Policy,empirical,0.105,0.105,0.05,0.3,rate (0-1),percentage_0_1,Eurostat: EU implicit tax rate on labour ~38-42%; effective average income-tax rates lower,Model uses a single flat income-tax rate in abstract units. Empirical EU implicit labour-tax rate ~38-42% documented; model value kept to preserve net-income balance.,Tax rate applied to citizen gross incomes (wage + non-wage + stipend; carbon dividend may be separate).,
GOVT_CORPORATE_TAX_RATE,Corporate Tax Rate,Government Agent - Policy,empirical,0.15,0.15,0.05,0.25,rate (0-1),percentage_0_1,Tax Foundation/OECD 2025: EU average statutory corporate income tax ~21.5%,Empirical EU average statutory corporate rate ~21.5% documented. Model value (0.15) kept to preserve fiscal balance in abstract units; flagged for joint re-tuning if absolute fiscal realism is required.,Tax rate applied to firm profits before corporate tax.,
GOVT_SUBSIDY_RATE_GREEN_CAPEX,Govt Base Green CAPEX Subsidy Rate,Government Agent - Policy,literature,0.1,0.1,0,0.5,rate (0-1),percentage_0_1,"EU green-CAPEX support schemes (Recovery and Resilience Facility, state aid)",Base green-capex subsidy; policy-instrument-informed.,"Base subsidy rate for green capital expenditure by firms, if not overridden by PolicyTweaker.",
GOVT_SUBSIDY_RATE_DIGITAL_CAPEX,Govt Base Digital CAPEX Subsidy Rate,Government Agent - Policy,literature,0.1,0.1,0,0.5,rate (0-1),percentage_0_1,"EU digital-CAPEX support (Digital Europe, RRF)",Base digital-capex subsidy; policy-instrument-informed.,"Base subsidy rate for digital capital expenditure by firms, if not overridden by PolicyTweaker.",
GOVT_R_AND_D_GRANT_SHARE_OF_REVENUE,R&D Grant Share of Tax Revenue (Obsolete),Government Agent - Policy (Obsolete),structural,0,0,0,0,rate (0-1),percentage_0_1,Obsolete parameter,Superseded by R_AND_D_MATCH_RATE; retained at 0 for back-compatibility.,OLD: Proportion of total government tax revenue allocated to R&D grants for firms. Now superseded by R_AND_D_MATCH_RATE.,
GOVT_COHESION_FUND_ALLOCATION_RATE,Cohesion Fund Allocation Rate,Government Agent - Policy,literature,0.05,0.05,0,0.15,rate (0-1),percentage_0_1,EU Cohesion Policy budget share,Cohesion allocation; policy-informed.,Proportion of (net tax revenue after other core expenses) allocated to the cohesion fund.,
GOVT_GINI_TARGET,Government Gini Target,Government Agent - Targets,empirical,0.3,0.25,0.2,0.35,index,float,Eurostat: EU Gini of equivalised disposable income ~29-30 (2023-24),EU disposable-income Gini sits near 29-30. Target 0.30 aligns with the empirical EU level (prior 0.25 was below any current member-state average).,Target Gini coefficient (for future regulator agent).,
GOVT_EMISSIONS_TARGET,Government Emissions Target,Government Agent - Targets,structural,100000,100000,50000,200000,emissions units,float,Model-scaled target,Abstract emissions units.,Target total emissions (for future regulator agent).,
GOVT_GDP_GROWTH_TARGET,Government GDP Growth Target,Government Agent - Targets,empirical,0.015,0.02,0.01,0.03,rate (0-1),percentage_0_1,"EC/ECB EU real GDP growth ~0.9-1.5% (2024-25), trend ~1.3-1.5%",EU trend real growth is ~1.3-1.5%. Target 0.015 reflects realistic EU potential growth (prior 0.02 was optimistic vs recent outturns).,Target annual GDP growth rate (for future regulator agent).,
POLICY_CONSTANT_DIVIDEND_SHARE,Carbon Dividend Share (F1) - Default,Policy Levers - Defaults,literature,0.7,0.7,0,1,share (0-1),percentage_0_1,Carbon dividend / fee-and-dividend design literature,Share of carbon revenue rebated; design parameter.,Default value for the 'Carbon Dividend Share (F1)' policy lever. Share of carbon tax revenue redistributed.,
POLICY_CONSTANT_DIGITAL_INFRA_GRANT,Digital Infra Grant/Region (B1) - Default,Policy Levers - Defaults,structural,2000000,2000000,0,10000000,€ per tick per region,float,Model-scaled grant,Grant in model currency units.,Default value for the 'Digital Infrastructure Grant per Region (B1)' policy lever. Specifies grant amount (€) per tick to eligible regions for broadband.,
POLICY_CONSTANT_R_AND_D_MATCH_RATE,R&D Matching Grant Rate (C1) - Default,Policy Levers - Defaults,literature,0.3,0.3,0,1,rate (0-1),percentage_0_1,EU R&D co-funding / matching-grant schemes,Match rate; policy-instrument-informed.,Default value for the 'R&D Matching Grant Rate (C1)' policy lever. Government's matching rate for firm R&D.,
POLICY_CONSTANT_EMISSION_STD,Emission Standard (D1) - Default,Policy Levers - Defaults,empirical,0.25,0.25,0.05,0.5,kg CO2eq / € VA,float,EU emission-performance standards (sectoral),Max emission intensity standard in kgCO2eq/EUR VA; order-of-magnitude consistent with EU sectoral standards. Documented.,Default value for the 'Emission Standard (D1)' policy lever. Max allowed emission intensity for firms.,
POLICY_CONSTANT_RESKILL_VOUCHER,Reskilling Voucher Value (E1) - Default,Policy Levers - Defaults,literature,3000,3000,0,10000,€ per eligible worker,float,ESF+/national reskilling voucher schemes,Voucher value; order-of-magnitude consistent with EU training-voucher schemes.,Default value for the 'Reskilling Voucher Value (E1)' policy lever. Value (€) of a voucher for eligible workers.,
INFRA_UNIT_COST,Infrastructure Unit Cost (B1 related),Mechanics - Regional,structural,100000,100000,50000,200000,€ / unit broadband stock,float,Model-scaled cost,Broadband unit cost in model units.,"Cost to increase regional broadband stock by one unit, using digital infrastructure grants.",
PHI_KNOWLEDGE_FROM_MATCHED_RD,Knowledge Conversion Factor (Alias - C1 related),Firm Behavior - Innovation,literature,0.2,0.2,0.1,0.8,factor (see R_AND_D_EFFECTIVENESS_GAMMA),float,Alias of R_AND_D_EFFECTIVENESS_GAMMA,Alias; see gamma.,Effectively an alias for R_AND_D_EFFECTIVENESS_GAMMA. Please refer to R_AND_D_EFFECTIVENESS_GAMMA for the primary parameter governing R&D to Innovation Capacity conversion.,
PSI_SKILL_FROM_VOUCHER,Skill Increase Effectiveness from Voucher (ψ - E1 related),Mechanics - Citizen Skills,literature,0.05,0.05,0.01,0.1,skill points per €1000 voucher value,float,Reskilling / VET evaluation literature,Skill gain per voucher; literature-informed.,"Factor determining how much a reskilling voucher increases a citizen's skill level, scaled by adaptCap.",
TAU_EMISSION_FINE_RATE,Emission Fine Rate (τ - D1 related),Mechanics - Regulation,structural,50,50,10,200,€ per unit emission intensity over std,float,Model-scaled penalty,Fine rate in model units.,Fine rate (€) per unit of emission intensity exceeding the standard.,
SKILL_TARGET_FOR_VOUCHER,Skill Target for Voucher Eligibility (E1 related),Mechanics - Citizen Skills,structural,0.4,0.4,0.2,0.6,skill level (0-1),percentage_0_1,Eligibility threshold,Policy-eligibility cutoff on abstract skill scale.,Citizens with skill levels below this target are eligible for reskilling vouchers.,
BROADBAND_STOCK_THRESHOLD_FOR_GRANT,Broadband Stock Threshold for Infra Grant (B1 related),Mechanics - Regional,structural,0.5,0.5,0.3,0.8,broadband stock units (0-1),percentage_0_1,Eligibility threshold,Regional eligibility cutoff.,Regions with broadband stock below this threshold are eligible for digital infrastructure grants.,
INITIAL_BROADBAND_STOCK_MEAN,Initial Regional Broadband Stock (Mean),Mechanics - Regional,empirical,0.45,0.4,0.2,0.7,broadband stock units (0-1),percentage_0_1,Eurostat DESI 2024: ~64% EU fixed very-high-capacity-network (VHCN) coverage; rural far lower,Initial regional broadband stock on a 0-1 scale. EU VHCN coverage averages ~64% but with large urban/rural and regional gaps; 0.45 reflects a heterogeneous mean across NUTS-archetype regions including lagging ones.,Mean initial broadband stock for regions.,
BROADBAND_PRODUCTIVITY_BOOST_FACTOR,Broadband Productivity Boost Factor for Firms,Mechanics - Regional,literature,0.05,0.05,0.01,0.1,factor,percentage_0_1,Broadband-productivity literature,Firm productivity gain from broadband; literature-informed small factor.,"Factor by which firm base productivity is boosted per unit of regional broadband stock (e.g., 0.05 means 5% boost at full broadband).",
BROADBAND_DIGITAL_ACCESS_BOOST_FACTOR,Broadband Digital Access Boost Factor for Citizens,Mechanics - Regional,structural,0.1,0.1,0.02,0.2,factor,percentage_0_1,Behavioural-response assumption,Citizen access gain from broadband; stylized.,Additional probability factor for citizens gaining digital access per unit of regional broadband stock.,
RESKILLING_STIPEND_PER_VOUCHER,Reskilling Stipend per Voucher (E1 related),Mechanics - Citizen Income,structural,500,500,100,1000,currency units,float,Model-scaled stipend,Stipend in model units.,"A small, one-time income supplement for citizens who receive and use a reskilling voucher.",
